Build No.,Project Code,Serial No.,Build Letter,Customer,Date,Gbox/Diff,Pass/Fail,Tested by,Mass
1173-004-C,1173,004,C,Wevers,18/09/2014,Gearbox,PASS,PS,62.9
600-054-A,600,054,A,Prodrive,18/09/2014,Gearbox,PASS,DJF,73.7
600-055-A,600,055,A,Prodrive,18/09/2014,Gearbox,PASS,DJF,73.7
600-053-A,600,053,A,Prodrive,18/09/2014,Gearbox,PASS,DJF,73.55
1173-003-D,1173,003,D,Wevers,18/09/2014,Gearbox,PASS,PS,63
1173-004-D,1173,004,D,Wevers,18/09/2014,Gearbox,PASS,PS,63
1173-005-B,1173,005,B,Wevers,19/09/2014,Gearbox,FAIL,PS,63.8
522-051R-A,522,051,A,X-raid,19/09/2014,Diff - Rear,FAIL,PS,53.95
1007-077C-A,1007,077,A,Pagani,19/09/2014,Gearbox,PASS,DJF,108.45
633C-032R-A,633C,032,A,Prodrive,19/09/2014,Diff,FAIL,DJF,36.95
633C-034-A,633C,034,A,Prodrive,19/09/2014,Gearbox,PASS,DJF,55.25
1007-078C-A,1007,078,A,Pagani,23/09/2014,Gearbox,PASS,DJF,108.8
529P-069-A,529P,069,A,Pratt & Miller,23/09/2014,Gearbox,PASS,PS,61
633C-035-A-A,633C,035,A,Prodrive,23/09/2014,Gearbox,PASS,PS,54.9
1007-058A-B,1007,058,B,Pagani,23/09/2014,Gearbox,PASS,DJF,108.8
633C-035-A,633C,035,A,Prodrive,23/09/2014,Gearbox,PASS,PS,54.9
529P-070-A,529P,070,A,Pratt & Miller,24/09/2014,Gearbox,PASS,PS,61.05
522-051F-A,522,051,A,X-raid,24/09/2014,Diff - Front,FAIL,DJF,53.8
529P-068-A,529P,068,A,Pratt & Miller,24/09/2014,Gearbox,FAIL,PS,60.85
427-039-A,427,039,A,GPRM,25/09/2014,Gearbox,PASS,PS,35.65
633C-033R-A,633C,033,A,Prodrive,26/09/2014,Diff,PASS,PS,37.05
1007-076C-A,1007,076,A,Pagani,26/09/2014,Gearbox,PASS,PS,109.25
1529-008-A,1529B,008,A,Lamborghini,26/09/2014,Gearbox,PASS,DJF,62.35
633C-036-A,633C,036,A,Prodrive,26/09/2014,Gearbox,PASS,PS,55.25
1529-009-A,1529B,009,A,Lamborghini,29/09/2014,Gearbox,FAIL,DJF,62.35
1529-010-A,1529B,010,A,Lamborghini,29/09/2014,Gearbox,FAIL,DJF,62.35
633C-037-A,633C,037,A,Prodrive,29/09/2014,Gearbox,PASS,PS,55.4
522-039R-B,522,039,B,X-raid,29/09/2014,Diff - Rear,PASS,PS,53.85
427-040-A,427,040,A,GPRM,29/09/2014,Gearbox,PASS,PS,35.7
522-052F-A,522,052,A,X-raid,30/09/2014,Diff - Front,FAIL,PS,53.85
522-053F-A,522,053,A,X-raid,30/09/2014,Diff - Front,FAIL,PS,53.85
522-052R-A,522,052,A,X-raid,30/09/2014,Diff - Rear,FAIL,DJF,54.05
223-068R-A,223,068,A,X-raid,30/09/2014,Diff,PASS,DJF,37.7
223-069R-A,223,069,A,X-raid,30/09/2014,Diff,PASS,DJF,37.7
1059F-028-A,1059F,028,A,Wirth,30/09/2014,Gearbox,FAIL,PS,78.65
1059F-029-A,1059F,029,A,Wirth,30/09/2014,Gearbox,FAIL,PS,78.6
1059F-027-A,1059F,027,A,Wirth,30/09/2014,Gearbox,FAIL,PS,79.25
223E-068R-A,223E,068,A,BMW,30/09/2014,Diff,PASS,DJF,37.7
223E-069R-A,223E,069,A,BMW,30/09/2014,Diff,PASS,DJF,37.7
223E-070R-A,223E,070,A,BMW,30/09/2014,Diff,PASS,DJF,37.65
223E-071R-A,223E,071,A,BMW,30/09/2014,Diff,PASS,DJF,37.7
223E-072R-A,223E,072,A,BMW,30/09/2014,Diff,PASS,DJF,37.7
633C-034-A,633C,034,A,Prodrive,30/09/2014,Gearbox,PASS,DJF,37
522-053R-A,522,053,A,X-raid,01/10/2014,Diff - Rear,PASS,DJF,53.95
522-003F-H,522,003,H,X-raid,01/10/2014,Diff - Front,FAIL,PS,53.75
427-039-A.,427,039,A,GPRM,01/10/2014,Gearbox,PASS,PS,35.65
626-074-A,626,074,A,OAK,02/10/2014,Gearbox,PASS,PS,62.15
633C-037-A,633C,037,A,Prodrive,07/10/2014,Gearbox,FAIL,PS,55.4
522-046R-A.,522,046,A,X-raid,09/10/2014,Diff - Rear,PASS,DJF,54.05
529T-061-B,529T,061,B,TMG,10/10/2014,Gearbox,FAIL,DJF,71.75
626-066-C,626,066,C,TDS,10/10/2014,Gearbox,PASS,DJF,63.65
522-041F-B,522,041,B,X-raid,13/10/2014,Diff - Front,FAIL,DJF,53.65
522-008F-E,522,008,E,X-raid,13/10/2014,Diff - Front,FAIL,DJF,53.85
